"Último","aggregatedTimestamp"
2.1573809523809526,"2006-03-19"
2.1887190476190477,"2006-03-26"
2.1404952380952382,"2006-04-02"
2.1435666666666666,"2006-04-09"
2.124190476190476,"2006-04-16"
2.1074428571428574,"2006-04-23"
2.0696666666666665,"2006-04-30"
2.094642857142857,"2006-05-07"
2.1839142857142857,"2006-05-14"
2.2841571428571426,"2006-05-21"
2.278514285714285,"2006-05-28"
2.2596904761904764,"2006-06-04"
2.2768190476190475,"2006-06-11"
2.2373571428571433,"2006-06-18"
2.2065333333333332,"2006-06-25"
2.1800571428571427,"2006-07-02"
2.1977952380952384,"2006-07-09"
2.1943761904761905,"2006-07-16"
2.1889666666666665,"2006-07-23"
2.181038095238095,"2006-07-30"
2.1700380952380955,"2006-08-06"
2.148628571428571,"2006-08-13"
2.1444809523809525,"2006-08-20"
2.1396238095238096,"2006-08-27"
2.1454761904761903,"2006-09-03"
2.164642857142857,"2006-09-10"
2.1794238095238097,"2006-09-17"
2.1889333333333334,"2006-09-24"
2.1630380952380954,"2006-10-01"
2.15047619047619,"2006-10-08"
2.136771428571429,"2006-10-15"
2.1412619047619046,"2006-10-22"
2.1438714285714284,"2006-10-29"
2.1444047619047617,"2006-11-05"
2.1564761904761904,"2006-11-12"
2.166061904761905,"2006-11-19"
2.176185714285714,"2006-11-26"
2.1497619047619048,"2006-12-03"
2.1448761904761904,"2006-12-10"
2.1529428571428575,"2006-12-17"
2.1415571428571427,"2006-12-24"
2.05255,"2007-01-01"
2.146095238095238,"2007-01-07"
2.136280952380952,"2007-01-14"
2.134561904761904,"2007-01-21"
2.116942857142857,"2007-01-28"
2.094961904761905,"2007-02-04"
2.1015238095238096,"2007-02-11"
2.0877333333333334,"2007-02-18"
2.116142857142857,"2007-02-25"
2.117014285714286,"2007-03-04"
2.0935952380952383,"2007-03-11"
2.068380952380952,"2007-03-18"
2.058690476190476,"2007-03-25"
2.037466666666667,"2007-04-01"
2.027347619047619,"2007-04-08"
2.0308,"2007-04-15"
2.0311285714285714,"2007-04-22"
2.0313809523809523,"2007-04-29"
2.0203952380952384,"2007-05-06"
1.973495238095238,"2007-05-13"
1.9491904761904764,"2007-05-20"
1.9303619047619047,"2007-05-27"
1.946338095238095,"2007-06-03"
1.9326571428571429,"2007-06-10"
1.9224952380952378,"2007-06-17"
1.938447619047619,"2007-06-24"
1.9103809523809525,"2007-07-01"
1.8827380952380952,"2007-07-08"
1.8603666666666667,"2007-07-15"
1.8742761904761904,"2007-07-22"
1.8873333333333333,"2007-07-29"
1.9187809523809523,"2007-08-05"
2.00627619047619,"2007-08-12"
1.9963619047619048,"2007-08-19"
1.9664666666666664,"2007-08-26"
1.9603047619047618,"2007-09-02"
1.9211666666666665,"2007-09-09"
1.8833380952380954,"2007-09-16"
1.8491857142857142,"2007-09-23"
1.8192666666666666,"2007-09-30"
1.8054190476190475,"2007-10-07"
1.807238095238095,"2007-10-14"
1.7907619047619048,"2007-10-21"
1.7511142857142856,"2007-10-28"
1.7504857142857142,"2007-11-04"
1.759842857142857,"2007-11-11"
1.7817857142857143,"2007-11-18"
1.8151428571428572,"2007-11-25"
1.7839857142857138,"2007-12-02"
1.7801809523809526,"2007-12-09"
1.8025333333333333,"2007-12-16"
1.781195238095238,"2007-12-23"
2.0252296296296297,"2008-01-01"
1.761038095238095,"2008-01-06"
1.7688666666666668,"2008-01-13"
1.802042857142857,"2008-01-20"
1.768247619047619,"2008-01-27"
1.756214285714286,"2008-02-03"
1.7520047619047616,"2008-02-10"
1.7222095238095239,"2008-02-17"
1.6871571428571428,"2008-02-24"
1.679395238095238,"2008-03-02"
1.6987666666666665,"2008-03-09"
1.7225619047619047,"2008-03-16"
1.7405238095238096,"2008-03-23"
1.7303904761904763,"2008-03-30"
1.6958333333333333,"2008-04-06"
1.6730904761904764,"2008-04-13"
1.6651000000000002,"2008-04-20"
1.6709761904761904,"2008-04-27"
1.672147619047619,"2008-05-04"
1.657447619047619,"2008-05-11"
1.6545523809523812,"2008-05-18"
1.6463761904761902,"2008-05-25"
1.6290857142857142,"2008-06-01"
1.6339952380952378,"2008-06-08"
1.6127238095238097,"2008-06-15"
1.6020285714285716,"2008-06-22"
1.604709523809524,"2008-06-29"
1.604014285714286,"2008-07-06"
1.594566666666667,"2008-07-13"
1.579090476190476,"2008-07-20"
1.5665333333333336,"2008-07-27"
1.5842238095238095,"2008-08-03"
1.625695238095238,"2008-08-10"
1.6272333333333333,"2008-08-17"
1.6304476190476191,"2008-08-24"
1.6821952380952383,"2008-08-31"
1.7725619047619048,"2008-09-07"
1.8397857142857141,"2008-09-14"
1.8390857142857142,"2008-09-21"
1.9809095238095236,"2008-09-28"
2.247661904761905,"2008-10-05"
2.1421476190476194,"2008-10-12"
2.2458333333333327,"2008-10-19"
2.1785285714285716,"2008-10-26"
2.1578142857142857,"2008-11-02"
2.2382714285714287,"2008-11-09"
2.365261904761905,"2008-11-16"
2.3055380952380955,"2008-11-23"
2.4261142857142852,"2008-11-30"
2.439923809523809,"2008-12-07"
2.3698809523809525,"2008-12-14"
2.3806999999999996,"2008-12-21"
1.9575291666666665,"2009-01-01"
2.252009523809524,"2009-01-04"
2.3341857142857143,"2009-01-11"
2.3417428571428567,"2009-01-18"
2.3099285714285713,"2009-01-25"
2.2950714285714287,"2009-02-01"
2.2686285714285717,"2009-02-08"
2.340657142857143,"2009-02-15"
2.3812619047619044,"2009-02-22"
2.401885714285714,"2009-03-01"
2.334114285714286,"2009-03-08"
2.270390476190476,"2009-03-15"
2.259228571428572,"2009-03-22"
2.270209523809524,"2009-03-29"
2.194719047619048,"2009-04-05"
2.187395238095238,"2009-04-12"
2.2144142857142857,"2009-04-19"
2.188638095238095,"2009-04-26"
2.104638095238095,"2009-05-03"
2.0878476190476194,"2009-05-10"
2.0445380952380954,"2009-05-17"
2.0055809523809525,"2009-05-24"
1.9507619047619047,"2009-05-31"
1.946157142857143,"2009-06-07"
1.9687380952380953,"2009-06-14"
1.972042857142857,"2009-06-21"
1.9486095238095238,"2009-06-28"
1.982252380952381,"2009-07-05"
1.9472714285714285,"2009-07-12"
1.8983190476190477,"2009-07-19"
1.8756142857142857,"2009-07-26"
1.8257999999999999,"2009-08-02"
1.8420571428571428,"2009-08-09"
1.848909523809524,"2009-08-16"
1.8616000000000001,"2009-08-23"
1.872352380952381,"2009-08-30"
1.8309380952380951,"2009-09-06"
1.8087047619047616,"2009-09-13"
1.8020666666666665,"2009-09-20"
1.7824809523809522,"2009-09-27"
1.750752380952381,"2009-10-04"
